"","A_09_195_S6_R1_001","A_10_313_S9_R1_001","A_11_062_S8_R1_001","A_12_011_S10_R1_001","A_13_027_S12_R1_001","A_13_086_S11_R1_001","A_14_022_S5_R1_001","A_14_076_S7_R1_001"
"tRF-16-E1D3L80",0,1,0,0,0,0,1,0
"tRF-16-E3FVSYB",0,0,0,1,0,0,0,0
"tRF-16-E7QN7JD",1,0,0,0,0,0,0,0
"tRF-16-E8Q2B5D",2,2,1,0,3,4,0,0
"tRF-16-EH623K0",0,0,0,0,0,1,2,0
"tRF-16-EH93WBE",1,0,0,0,0,2,0,0
"tRF-16-EHBK8R0",2,1,1,0,1,1,1,2
"tRF-16-EHR959D",0,0,0,0,0,0,1,0
"tRF-16-ELXKKS0",2,0,1,2,0,0,0,0
"tRF-16-ENL7250",2,0,0,1,0,1,0,0
"tRF-16-EO7N980",5,5,0,0,0,0,0,1
"tRF-16-EWBJUIE",0,0,0,1,0,0,0,0
"tRF-16-EXFM240",0,0,0,0,0,0,0,2
"tRF-16-EY0VWUD",124,25,46,105,124,35,229,80
"tRF-16-F0IR1ND",3,2,5,2,2,1,5,0
"tRF-16-F0QV7ND",26,65,22,19,28,51,63,31
"tRF-16-F1R3WEE",0,0,0,1,0,2,2,1
"tRF-16-F706RD0",0,0,0,1,0,0,0,0
"tRF-16-F85SI1D",0,0,0,0,0,1,0,0
"tRF-16-F8DHXY0",5,15,4,2,8,9,5,12
"tRF-16-F900BYD",0,3,0,1,2,0,1,1
"tRF-16-F9LKXNE",1,0,1,3,1,1,5,3
"tRF-16-FJ33DSD",0,0,1,0,0,0,1,0
"tRF-16-FK8SR9B",1,2,1,0,2,0,2,0
"tRF-16-FKN5ORD",0,0,0,1,0,0,0,0
"tRF-16-FKVH6M0",4,4,0,1,3,0,2,0
"tRF-16-FKWE6M0",0,5,0,2,1,0,4,0
"tRF-16-FKWE6ME",0,0,1,0,0,0,0,0
"tRF-16-FKYSR90",4,4,0,2,0,0,5,0
"tRF-16-FMF07V0",1,0,0,0,0,0,0,0
"tRF-16-FN4KYUD",0,2,1,1,0,1,0,0
"tRF-16-FN5KYUB",1,5,0,1,0,0,0,0
"tRF-16-FP18LPD",0,0,1,1,0,2,0,5
"tRF-16-FPZD3KD",0,0,0,0,1,3,1,1
"tRF-16-FPZD3KE",11,6,15,9,11,25,22,14
"tRF-16-FR83DN0",0,0,0,0,1,0,0,0
"tRF-16-FSXMSL0",8,2,0,2,9,4,0,2
"tRF-16-FU8U76B",1,0,0,0,0,0,0,0
"tRF-16-FU91540",0,0,0,1,0,0,0,0
"tRF-16-FVLY7L0",0,3,0,1,0,0,0,0
"tRF-16-FW6S18E",0,1,0,0,0,0,1,0
"tRF-16-FW6SF8E",0,0,0,0,2,2,0,0
"tRF-16-H48V7KE",0,22,1,4,0,4,2,1
"tRF-16-H5KQBFD",0,0,0,0,0,1,0,0
"tRF-16-H5RNLDD",0,4,1,0,0,3,0,2
"tRF-16-H5SYNXD",5,2,9,7,14,41,0,8
"tRF-16-H6QE30E",2,3,8,9,6,16,8,2
"tRF-16-H7PU4HD",6,18,7,5,10,8,9,8
"tRF-16-H7S84HD",0,1,0,0,1,0,0,0
"tRF-16-H7V3LY0",0,2,0,0,1,0,0,0
"tRF-16-H9R8B7D",56,45,25,11,42,27,47,21
"tRF-16-H9R8ORD",0,1,0,0,0,0,2,1
"tRF-16-HDFX8QE",1,0,0,0,0,1,2,0
"tRF-16-HENBRSE",1,0,0,1,0,0,0,2
"tRF-16-HFO6FJD",1,0,0,1,0,1,3,1
"tRF-16-HK9FM0B",0,0,0,0,0,0,0,1
"tRF-16-HKFZB1D",0,0,0,0,0,0,2,0
"tRF-16-HR0P1SD",0,2,0,0,0,0,0,0
"tRF-16-HR0VX6D",12,8,5,2,5,13,17,10
"tRF-16-HR1PF7D",2,1,0,0,0,0,1,1
"tRF-16-HRH7MSD",3,0,2,0,0,0,4,1
"tRF-16-HRL7S50",0,0,0,0,0,0,0,1
